C1:1
C6:1
D1:1
D19:1
D20:1
D22:1
D23:1
F1:1
J1:1
J2:1
J3:1
J4:1
J5:1
JP2:1
JP3:1
PIEZO-T1:1
Q1:1
R1:1
R2:1
R3:1
R4:1
REF**:3
U2:1
U3:1
UPDI-T1:1
VDD-T1:1
